,title,button_name,button_url
74,사랑나눔장학금,사랑나눔장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/disability/requirement/
75,사랑나눔장학금,사랑나눔장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/disability/advantage/
76,사랑나눔장학금,사랑나눔장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/disability/document/
77,장애학생도우미장학금,장애학생도우미장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/disabled_student_helper/requirement/
78,장애학생도우미장학금,장애학생도우미장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/disabled_student_helper/advantage/
79,장애학생도우미장학금,장애학생도우미장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/disabled_student_helper/document/
80,국가장학금 1유형,국가장학금 1유형 선발기준,http://127.0.0.1/scholarship/inside/enrolled/nation/1/requirement/
81,국가장학금 1유형,국가장학금 1유형 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/nation/1/advantage/
82,국가장학금 1유형,국가장학금 1유형 제출서류,http://127.0.0.1/scholarship/inside/enrolled/nation/1/document/
83,국가장학금 2유형,국가장학금 2유형 선발기준,http://127.0.0.1/scholarship/inside/enrolled/nation/2/requirement/
84,국가장학금 2유형,국가장학금 2유형 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/nation/2/advantage/
85,국가장학금 2유형,국가장학금 2유형 제출서류,http://127.0.0.1/scholarship/inside/enrolled/nation/2/document/
29,월곡주얼리장학생,사이트로 이동,https://www.kmu.ac.kr/uni/main/page.jsp?pageNo=1&pagePrvNxt=1&pageRef=207111&pageOrder=0&cmd=2&parm_bod_uid=207111&srchVoteType=-1&srchKeyword=%EC%9B%94%EA%B3%A1&srchEnable=1&srchBgpUid=-1&srchSDate=&srchColumn=bod_title&srchEDate=&mnu_uid=145&/
